seg,mean_bMeanInt,sd_bMeanInt,se_bMeanInt,n
k,47.42352688000932,3.237248952248836,2.2890806865241977,2
k',48.77758918570792,0.7114080723465609,0.5030414721471032,2
t,50.65433936340874,4.551044305885908,3.2180742901723494,2
t',43.815213216499615,2.361425529429435,1.6697800051265865,2
