seg,mean_bDur,sd_bDur,se_bDur,n
k,0.0077678433331969604,0.004295293611482753,0.0030372312398667103,2
k',0.010763189319693205,0.008003921916191769,0.005659627463026825,2
t,0.00700811185070088,0.0037910500590810333,0.00268067720459386,2
t',0.010213453136941535,0.005568554151476247,0.003937562401913355,2
