seg,mean_bcog,sd_bcog,se_bcog,n
k,2073.3864545395704,321.296485776451,227.1909238639356,2
k',2126.4815517833617,37.48701898946253,26.50732533391783,2
t,3044.132707462694,916.6157011228402,648.145178006022,2
t',3816.5807840735993,666.8885468931863,471.5614138038149,2
