seg,mean_VOT,sd_VOT,se_VOT,n
k,0.06040545857803419,0.007607925688129434,0.005379615844839654,2
k',0.0688293605567246,0.014610534224775451,0.010331207827096858,2
t,0.034409388825866874,4.10103843152531e-4,2.899872084838189e-4,2
t',0.06296436282999526,0.0024688816201344273,0.0017457629355438833,2
