seg,mean_rhDur,sd_rhDur,se_rhDur,n
k,0.05263761524483723,0.011903219299612182,0.00841684708470636,2
k',0.058066171237031394,0.022614456140967222,0.015990835290123684,2
t,0.027401276975165992,0.004201153902233565,0.0029706644130776793,2
t',0.05275090969305374,0.008037435771610679,0.005683325337457241,2
